username,region,age,gender,haircolor,complexion,undertone,eyecolor,rating,review_time,quality_rating,value_rating,title,content,recieved_sample_points,puchase_again,recommend
VeronicaS,PA,,,,,,,4 out of 5 stars.,a month ago  ,0,0,Very nice lipstick,"I really liked using this liquid lipstick from l'oreal. The color was very nice and bold. I loved how the lipstick was not sticky or drying. It felt very soft and hydrating. It lasted for a good amount of time. I wish the applicator was a little smaller, I had to be careful when applying.",Yes,,Yes
Trish3,Peoria aZ,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Pretty colors!,"I have 3 color so far and I can't wait to buy more. This lipstick definitely stays on all day and last very long. It doesn't smudge off while drinking or eating. The matte colors are so pretty.
I'll buy again.",Yes,,Yes
SarahL1,"Hartford County, CT",,,,,,,2 out of 5 stars.,a month ago  ,0,0,Not Long Lasting,I received this product to sample. I gave it 2 stars because these are not long lasting. The color is completely gone in 4 hours if you are not eating or drinking and if you are they come off right after that. I loved the colors I received and they do look really pretty on but if you are looking for something that will last all day this isn't it.,Yes,,No
Mommypj19,"Richmond, TX",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Awesome and pretty matte liquid lipstick,"I am very picky when it comes to lipstick and liquid lipstick because it's kinda hard for me to find the shade that suits my olive skin tone but the L'oreal Paris Rouge Signature ""I choose"" and "" I decide"" color is my new favorite. It's perfect, it doesn't streak and I've worn it for more than 8 hours and stayed pretty. I really love the matte finish and I only applied it once and it lasted all night long I love it!",Yes,,Yes
Mrslindsay,Oregon,,,,,,,5 out of 5 stars.,a month ago  ,0,0,Love this product!,I gotta say I'm super impressed by this matte lipstick! I love the sleek design and the feel of the lipstick on my lips. Seems to last considerably longer then my regular brand. I will NOT being buying my old brand. Also I am very impressed by the head of the lipstick. It super easy to use and I love that I can use it as a lipliner as well. I totally recommend this product! I should also mention that for a matte lipstick my lips feel silky soft the whole time I have it on.,Yes,,Yes
Candy3,"Taylor, al",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Very beautiful,"These liquid lippys are surprisingly great! The colors are beautiful, the applicator is perfectly shaped, and it stays on your lips for a very long time (like a stain). I'm very happy with this product.",Yes,,Yes
AM10,"Albuquerque, NM",,,,,,,5 out of 5 stars.,a month ago  ,0,0,So comfortable to wear,"These are one of the most comfortable liquid lipsticks I have worn. They go on so smooth and aren't drying or sticky at all. The applicator is so nice and soft and easy to fill in with out getting it everywhere. It has to be my favorite formula I've tried of L'oreal's so far. It was very long lasting too which is great for being a comfortable formula. The colors I was sent were very pretty. I Choose was my favorite and is one of those every day colors while I Radiate was a brighter, more vibrant color that I would wear on a night out. I am going to pick up I Create because that seems like my perfect color. I love neutral tones and have many but I want to have one in these. I would definitely recommend these to anyone who has a problem with liquid lipsticks being too dry for them. Usually my lips would look cracked and gross but these stayed so nice looking.",Yes,,Yes
Britt16,"Roanoke, VA",,,,,,,2 out of 5 stars.,a month ago  ,0,0,Not a huge fan...,"I got three different lipsticks. One was the color 440, I Choose, and the other two were both in the color 438, I Decide. I wish I had gotten three different colors but oh well. I got these for free for a review. The color of 440 was pretty but actually a brighter pink that it looks. The color 438 was a hot pink, way too bright for me (and most people I would think). The applicator was nice. The colors went on smooth for the most part but were very liquidy. They did dry somewhat matte and I was still able to move the color around some on my lips after it dried some. I have tried other products that I would choose over this to be honest and I probably would not buy it. Maybe if I had gotten to try other colors it would have been easier/better to review. In a better color it would not be bad.",Yes,,No
Glayol,"Huntsville, Alabama",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Love this lipstick,"I used many lipstick from many different brands, including a lot more expensive brands and this lipstick is really the winner!I cannot express enough how much I absolutely love this product.It is not as grease compares to other brands.It is such a creamy matte that's comfortable and very pigmented. Those last for the whole 8 hours and a bit more.The lip applicator is easy in a good shape and the sponge takes the perfect amount of lipstick. Love that it has a tip at the end to do a great finish on the lip lines.I do recommend it.I have been buying this for years and it's the only lipcolor that lasts all day. You just have to wait until it dries! I love it! I am so satisfied with this product. Because it is difficult for me to find a lipstick that does not dry out my lips or peel my lips off. Anyways, the lip mousse lasts on my lips all day at work. I will be buying a few more of these in different colors. This lipstick applies so smoothly, and is not drying at all. Perfect choice for wedding and night party. I'm so obsessed about makeup smells and this lipstick has a sweet pleasure smell. This lipstick has such great pigment and is ultra soft on the lips.",Yes,,Yes
MallyKD,"Hickory, NC",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Long lasting,This lipstick is super comfortable to wear unlike some other brands I have tried in the past. I really love that it is not sticky and it does not dry out my lips but at the same time gives a beautiful color that is long lasting. I would definitely recommend for anyone who loves to wear lipstick to try this one. The colors are amazing! I was not aware of this product previously but I will definitely be buying more shades in the near future!,Yes,,Yes
BeautyLauren,"Sacramento, CA",,,,,,,5 out of 5 stars.,a month ago  ,0,0,Great long-lasting lipstick,"I love the new colors! Very vibrant. It glides on smoothly and lasts a very long time! No more having to reapply every 5 minutes like with other lipsticks, this one stays on! I love the pointed tip which allows me to be precise without using a lip liner.",Yes,,Yes
